"iata_code","name","city","country"
"AAA","Anaa Airport","Anaa","French Polynesia"
"AAB","Arrabury Airport","Arrabury","Australia"
"AAC","El Arish International Airport","El Arish","Egypt"
"AAE","Rabah Bitat Airport","Annaba","Algeria"
"AAF","Apalachicola Regional Airport","Apalachicola","United States"
"AAG","Arapoti Airport","Arapoti","Brazil"
"AAH","Merzbrück Airport","Aachen","Germany"
"AAI","Arraias Airport","Arraias","Brazil"
"AAK","Aranuka Airport","Buariki","Kiribati"
"AAL","Aalborg Airport","Aalborg","Denmark"
"AAM","Mala Mala Airport","Mala Mala","South Africa"
"AAN","Al Ain International Airport","Al Ain","United Arab Emirates"
"AAO","Anaco Airport","Anaco","Venezuela"
"AAP","Aji Pangeran Tumenggung Pranoto International Airport","Samarinda","Indonesia"
"AAQ","Anapa Vityazevo Airport","Anapa","Russia"
"AAR","Aarhus Airport","Aarhus","Denmark"
"AAS","Apalapsili Airport","Apalapsili","Indonesia"
"AAT","Altay Airport","Altay","China"
"AAU","Araura Airport","Araura","Cook Islands"
"AAV","Allah Valley Airport","Surallah","Philippines"
"AAX","Araxa Airport","Araxá","Brazil"
"AAY","Al Ghaydah Airport","Al Ghaydah","Yemen"
"AAZ","Quetzaltenango Airport","Quetzaltenango","Guatemala"
"ABA","Abakan International Airport","Abakan","Russia"
"ABB","RAF Abingdon","Abingdon","United Kingdom"
"ABC","Albacete Airport","Albacete","Spain"
"ABD","Abadan International Airport","Abadan","Iran"
"ABE","Lehigh Valley International Airport","Allentown","United States"
"ABF","Abaiang Atoll Airport","Abaiang","Kiribati"
"ABG","Abingdon Airport","Abingdon","Australia"
"ABH","Alpha Airport","Alpha","Australia"
"ABI","Abilene Regional Airport","Abilene","United States"
"ABJ","Port Bouet Airport","Abidjan","Cote d'Ivoire"
"ABK","Kabri Dar Airport","Kabri Dar","Ethiopia"
"ABL","Ambler Airport","Ambler","United States"
"ABM","Northern Peninsula Airport","Bamaga","Australia"
"ABN","Albina Airstrip","Albina","Suriname"
"ABO","Aboisso Airport","Aboisso","Cote d'Ivoire"
"ABP","Atkamba Airport","Atkamba","Papua New Guinea"
"ABQ","Albuquerque International Sunport","Albuquerque","United States"
"ABR","Aberdeen Regional Airport","Aberdeen","United States"
"ABS","Abu Simbel Airport","Abu Simbel","Egypt"
"ABT","Al-Baha Domestic Airport","Al-Baha","Saudi Arabia"
"ABU","Haliwen Airport","Atambua","Indonesia"
"ABV","Nnamdi Azikiwe International Airport","Abuja","Nigeria"
"ABW","Abau Airport","Abau","Papua New Guinea"
"ABX","Albury Airport","Albury","Australia"
"ABY","Southwest Georgia Regional Airport","Albany","United States"
"ABZ","Aberdeen Dyce Airport","Aberdeen","United Kingdom"
"ACA","General Juan N Alvarez International Airport","Acapulco","Mexico"
"ACB","Antrim County Airport","Bellaire","United States"
"ACC","Kotoka International Airport","Accra","Ghana"
"ACD","Alcides Fernandez Airport","Acandi","Colombia"
"ACE","Lanzarote Airport","Lanzarote","Spain"
"ACH","St Gallen Altenrhein Airport","Altenrhein","Switzerland"
"ACI","Alderney Airport","Alderney","Guernsey"
"ACJ","Anuradhapura Airport","Anuradhapura","Sri Lanka"
"ACK","Nantucket Memorial Airport","Nantucket","United States"
"ACL","Aguaclara Airport","Aguaclara","Colombia"
"ACM","Arica Airport","Arica","Colombia"
"ACN","Ciudad Acuna International Airport","Ciudad Acuna","Mexico"
"ACO","Ascona Airport","Ascona","Switzerland"
"ACP","Sahand Airport","Sahand","Iran"
"ACR","Araracuara Airport","Araracuara","Colombia"
"ACS","Achinsk Airport","Achinsk","Russia"
"ACT","Waco Regional Airport","Waco","United States"
"ACU","Achutupo Airport","Achutupo","Panama"
"ACV","Arcata Eureka Airport","Arcata","United States"
"ACX","Xingyi Wanfenglin Airport","Xingyi","China"
"ACY","Atlantic City International Airport","Atlantic City","United States"
"ACZ","Zabol Airport","Zabol","Iran"
"ADA","Adana Airport","Adana","Turkey"
"ADB","Adnan Menderes Airport","Izmir","Turkey"
"ADC","Andakombe Airport","Andakombe","Papua New Guinea"
"ADD","Bole International Airport","Addis Ababa","Ethiopia"
"ADE","Aden International Airport","Aden","Yemen"
"ADF","Adiyaman Airport","Adiyaman","Turkey"
"ADG","Lenawee County Airport","Adrian","United States"
"ADH","Aldan Airport","Aldan","Russia"

... (rest of the file)
